"ecoSpeciesID"	"ecoSpecies"	"ecoSpeciesTranslated"	"ecoSpeciesReference"	"ecoSpeciesReferencePage"	"ecoSpeciesReferenceID"	"ecoSpeciesAuthorID"	"ecoSpeciesDate"	"ecoSpeciesBiotype"	"ecoSpeciesAuthor"
20200505162321	"Forêt ouest africaine de ravin de la zone des Forêts tropicales humides saisonnières semi-décidues montagnardes (FR)"	"West African Ravine forest of the Montane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"50"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191003-1046-37"	"Senterre, Bruno"
20200506073503	"Forêt montagnarde à Parinari excelsa des ravins supérieurs (=forêts hautes des thalwegs) (FR)"		"Schnell (1952)"	"384"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-0058-384"	"Schnell, Raymond"
20200506073647	"Forêt dense guinéenne mi-haute de haute montagne des ravins (FR)"		"Aussel (2018)"	"31132"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-1511-31132"	"Aussel, Alexia"
20200506074103	"Forêt ouest africaine naine marécageuse sur cuirasse ferrugineuse de la zone des Forêts tropicales humides saisonnières semi-décidues montagnardes (FR)"	"West African Swamp dwarf forest on ferruginous shield of the Montane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"51"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191007-1430-62"	"Senterre, Bruno"
20200506074555	"Forêt ouest africaine naine saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales humides saisonnières semi-décidues montagnardes (FR)"	"West African Saxicolous dwarf forest on ironstone of the Montane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"51"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191001-1600-26e"	"Senterre, Bruno"
20200506075028	"High altitude thicket (EN)"	"Fourrés de haute altitude (FR)"	"Golder (2013)"	"10"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-0614-10"	"Golder"
20200506080915	"Forêt ouest africaine naine sur-drainée de la zone des Forêts tropicales humides saisonnières semi-décidues montagnardes (FR)"	"West African Overdrained dwarf forest of the Montane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Senterre et al. (2019)"	"52"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20190930-1524-12"	"Senterre, Bruno"
20200506081330	"Forêt basse ombrophile à Parinari excelsa et Eugenia leonensis (FR)"		"Schnell (1952)"	"385"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-2312-385"	"Schnell, Raymond"
20200506081704	"Forêt dense guinéenne basse de très haute montagne sur sol squelettique de Guinée Forestière (FR)"		"Aussel (2018)"	"31131"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-0525-31131"	"Aussel, Alexia"
20200506083225	"Prairie ouest africaine saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales de plaine (FR)"	"West African Saxicolous grassland on ironstone of the Lowland tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"54"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191001-1601-26b"	"Senterre, Bruno"
20200506114549	"Groupement à Eriospora pilosa et Osbeckia porteresii (FR)"		"Schnell (1952)"	"383"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-1639-383"	"Schnell, Raymond"
20200506114827	"High-altitude savanna (EN)"	"Savane de haute altitude (FR)"	"Golder (2013)"	"14"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-1934-14"	"Golder"
20200506115406	"Nimba mountain savanna (EN)"		"Astron (2019)"	"14"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-0929-14"	"Astron"
20200506115615	"Savane africaine pyrophile disclimacique de la zone des Forêts tropicales de plaine (FR)"	"African Pyrophilic disclimax savanna of the Lowland tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"58"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191001-1606-26h"	"Senterre, Bruno"
20200506120000	"Groupement à Hyparrhenia diplandra et Loudetia arundinacea (FR)"		"Schnell (1952)"	"380"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-1629-380"	"Schnell, Raymond"
20200506121127	"Lowland savanna (EN)"	"Savane de basses terres (FR)"	"Golder (2013)"	"15"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-1722-15"	"Golder"
20200506121324	"Lowland Guinea savanna (EN)"		"Astron (2019)"	"15"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-0230-15"	"Astron"
20200506121516	"Savane africaine pyrophile disclimacique de la zone des Forêts tropicales submontagnardes (FR)"	"African Pyrophilic disclimax savanna of the Submontane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"59"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191001-0825-13"	"Senterre, Bruno"
20200506121748	"Savane submontagnarde (FR)"		"Poilecot & Loua (2009)"	"55"	"https://doi.org/10.19182/bft2009.301.a20406"	"PoilecotPierre"	2008-12-31T21:00:00Z	"Poilecot-20090101-1807-55"	"Poilecot, Pierre"
20200506122232	"Medium-altitude savanna (EN)"	"Savane de moyenne altitude (FR)"	"Golder (2013)"	"16"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-1329-16"	"Golder"
20200506122548	"Nimba medium altitude savanna (EN)"		"Astron (2019)"	"16"		"Astron"	2018-12-31T21:00:00Z	"Astron-20190101-0331-16"	"Astron"
20200506122743	"Prairie altimontaine/ prairie sub-montagnarde (FR)"		"Aussel (2018)"	"3213"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-0415-3213"	"Aussel, Alexia"
20200506122932	"Savane arbustive sur sol mince de montagne (FR)"		"Aussel (2018)"	"33221"	"https://dumas.ccsd.cnrs.fr/dumas-01950965"	"AusselAlexia"	2018-12-10T21:00:00Z	"Aussel-20181211-0042-33221"	"Aussel, Alexia"
20200506123210	"Savane africaine pyrophile disclimacique de la zone des Forêts tropicales montagnardes (FR)"	"African Pyrophilic disclimax savanna of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"59"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191001-1607-26i"	"Senterre, Bruno"
20200506123409	"Eriosemeto-Loudetietum Kagerensis (prairie montagnarde) (FR)"		"Schnell (1952)"	"397"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-2005-397"	"Schnell, Raymond"
20200506124030	"Affleurement rocheux de quartzite de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky outcrop of quartzite of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"60"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191003-0945-34b"	"Senterre, Bruno"
20200506130741	"Groupements lichéniques (FR)"		"Schnell (1952)"	"383"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-0445-383"	"Schnell, Raymond"
20200506131723	"Groupement hélio-hygrophile à Panicum pusillum (FR)"		"Schnell (1952)"	"384"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-1046-384"	"Schnell, Raymond"
20200506131903	"Rock outcrop (EN)"	"Affleurement rocheux (FR)"	"Golder (2013)"	"17"		"Golder"	2012-12-31T21:00:00Z	"Golder-20130101-1606-17"	"Golder"
20200506132102	"Falaise rocheuse en corniche de cuirasse ferrugineuse de la zone des Forêts tropicales montagnardes d'Afrique de l'ouest (FR)"	"West African Rocky cliff on ironstone shield edge of the Montane tropical rainforest zone (EN)"	"Senterre et al. (2019)"	"60"	"https://doi.org/10.13140/RG.2.2.13242.93129"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2019-12-30T21:00:00Z	"BS61-20191003-0946-34c"	"Senterre, Bruno"
20200506132258	"Groupement méso-héliophile à Lonchitis reducta et Oleandra articulata (FR)"		"Schnell (1952)"	"383"	"www.jstor.org/stable/20034533"	"SchnellRaymond"	1951-12-31T20:00:00Z	"Schnell-19520101-1706-383"	"Schnell, Raymond"
20200804130810	"Mesophilous forests of the wet evergreen littoral rain forest zone (EN)"		"Senterre (2014)"	"15"	"https://doi.org/10.13140/RG.2.2.32628.48003"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	"16334f9f-458e-4bc7-802a-a0c2d59aaa31"	"Senterre, Bruno"
20200804131020	"West African mesic forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Forêt ouest africaine mésique de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"40"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	"16334f9f-458e-4bc7-802a-a0c2d59aaa31"	"Senterre, Bruno"
20200804135358	"Dry ridge forests of the wet evergreen littoral rain forest zone (EN)"		"Senterre (2014)"	"16"	"https://doi.org/10.13140/RG.2.2.32628.48003"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	"70ad7c4f-cd8d-4c69-b8b4-dde988047c78"	"Senterre, Bruno"
20200810183507	"West African waterfall of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Cascade ouest africaine de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"29"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-09T21:00:00Z	"20200810183205"	"Senterre, Bruno"
20200811094117	"West African freshwater marsh of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Végétation ouverte marécageuse ouest africaine de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"30"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	"20200811094025"	"Senterre, Bruno"
20200811094119	"West African inland river of the Lowland tropical perhumid moist evergreen rainforest zone (EN)"	"Rivière ouest africaine de la zone des Forêts tropicales perhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"28"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	"20200811095241"	"Senterre, Bruno"
20200811095124	"West African inland river of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Rivière ouest africaine de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine (FR)"	"Senterre (2020)"	"28"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	"20200811102618"	"Senterre, Bruno"
20200811102815	"West African waterfall of the Montane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Cascade ouest africaine de la zone des Forêts tropicales humides saisonnières semi-décidues montagnardes (FR)"	"Senterre (2020)"	"29"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	"BS61-20191003-1155-38"	"Senterre, Bruno"
20200811104645	"West African waterfall of the Submontane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Cascade ouest africaine de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)"	"Senterre (2020)"	"29"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	"20200811105102"	"Senterre, Bruno"
20200811105213	"West African Coastal frontshore sandy beach of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Plage sableuse du front côtier, ouest africaine, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"23"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	"20200811133818"	"Senterre, Bruno"
20200811133856	"West African Coastal frontshore Sandy beach open vegetation fringe of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Végétation ouverte sur plage sableuse du front côtier, ouest africaine, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"24"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	"20200811134407"	"Senterre, Bruno"
20200811134316	"West African Coastal backshore forest on sand of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Forêt psammophile d'arrière-côte, ouest africaine, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"25"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	"20200811141636"	"Senterre, Bruno"
20200811141413	"West African Coastal backshore dunes with sparse vegetation of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Végétation éparse sur dunes d'arrière-côte, ouest africaine, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"25"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	"20200811143540"	"Senterre, Bruno"
20200811143434	"West African Coastal backshore dunes shrubland (incl. gapped periodic) of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Végétation arbustive ouverte (parfois tachetée) sur dunes d'arrière-côte, ouest africaine, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"24"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	"20200811144109"	"Senterre, Bruno"
20200811143726	"Atlantic Coastal backshore hyperhaline dwarf mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove naine d'arrière-côte hyper-saline atlantique de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"20"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	"20200811145852"	"Senterre, Bruno"
20200811145726	"West African Coastal backshore hyperhaline grassland on muddy soil (back of mangrove) of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Prairie d'arrière-côte hyper-saline sur sol boueux (d'arrière-mangrove), atlantique, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"21"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	"20200811150106"	"Senterre, Bruno"
20220909124900	"Forêt ouest africaine ripicole de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes (FR)"	"West African Riparian forest of the Submontane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"xx"	"xx"		"6980a07a-811b-4b74-82f4-56c601afaab6"	2022-09-08T21:00:00Z	"20220909124127"	"Senterre, Bruno"
20200804135405	"West African Overdrained dwarf forest of the Lowland tropical superhumid wet evergreen rainforest zone (EN)"	"Forêt ouest africaine naine sur-drainée de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"50"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	"70ad7c4f-cd8d-4c69-b8b4-dde988047c78"	"Senterre, Bruno"
20200804135616	"Ravine forests of the wet evergreen littoral rain forest zone (EN)"		"Senterre (2014)"	"19"	"https://doi.org/10.13140/RG.2.2.32628.48003"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	"ae899a1a-7b78-4919-82da-3792023f08da"	"Senterre, Bruno"
20200804140517	"West African Ravine forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Forêt ouest africaine de ravin de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"68"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	"ae899a1a-7b78-4919-82da-3792023f08da"	"Senterre, Bruno"
20200804140707	"Swamp forests of the wet evergreen littoral rain forest zone (EN)"		"Senterre (2014)"	"21"	"https://doi.org/10.13140/RG.2.2.32628.48003"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	"185bccb5-ad1a-412d-9ceb-44b51eff8f3a"	"Senterre, Bruno"
20200804141603	"West African Swamp forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Forêt ouest africaine marécageuse de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"33"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	"185bccb5-ad1a-412d-9ceb-44b51eff8f3a"	"Senterre, Bruno"
20200804141814	"Open marshes of the wet evergreen littoral rain forest zone (EN)"		"Senterre (2014)"	"22"	"https://doi.org/10.13140/RG.2.2.32628.48003"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	"03a379a7-6031-4e9f-88af-752f50356e9d"	"Senterre, Bruno"
20200804142328	"West African freshwater marsh of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Végétation ouverte marécageuse ouest africaine de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"30"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	"03a379a7-6031-4e9f-88af-752f50356e9d"	"Senterre, Bruno"
20200804142654	"Riparian forests of the wet evergreen littoral rain forest zone (EN)"		"Senterre (2014)"	"23"	"https://doi.org/10.13140/RG.2.2.32628.48003"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	"d1391fb0-ca68-44fe-baa9-e1cc1b6b83c1"	"Senterre, Bruno"
20200804143417	"West African Riparian forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Forêt ouest africaine ripicole de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"36"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	"d1391fb0-ca68-44fe-baa9-e1cc1b6b83c1"	"Senterre, Bruno"
20200804143418	"Rivers of the wet evergreen littoral rain forest zone (EN)"		"Senterre (2014)"	"23"	"https://doi.org/10.13140/RG.2.2.32628.48003"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	"45e46a92-67dc-476e-b719-c699b97ef23f"	"Senterre, Bruno"
20200804144224	"West African inland river of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Rivière ouest africaine de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"28"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	"45e46a92-67dc-476e-b719-c699b97ef23f"	"Senterre, Bruno"
20200804144226	"Marshy open water of the wet evergreen littoral rain forest zone (EN)"		"Senterre (2014)"	"24"	"https://doi.org/10.13140/RG.2.2.32628.48003"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	"20200804145535"	"Senterre, Bruno"
20200804152630	"West African freshwater pool of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Pièce d'eau douce ouest africaine de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"29"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	"20200804145535"	"Senterre, Bruno"
20200805172755	"Evergreen Forest Zone (EN)"		"Voorhoeve (1965)"	"21"	"https://doi.org/10.2307/1217558"	"VoorhoeveAG"	1964-12-31T20:00:00Z	"20200805171908"	"Voorhoeve, Alexander George"
20200807153304	"Moist Semi-deciduous Forest Zone (EN)"		"Voorhoeve (1965)"	"21"	"https://doi.org/10.2307/1217558"	"VoorhoeveAG"	1964-12-31T20:00:00Z	"20200807153608"	"Voorhoeve, Alexander George"
20200812151131	"West African Lowland Evergreen Forest (EN)"		"Couch (2019)"		"ISBN 978-1-5272-4065-0"	"CouchCharlotte"	2019-04-30T21:00:00Z	"20200812154308"	"Couch, Charlotte"
20200812154209	"Guinean Highland Submontane Forest (EN)"		"Couch (2019)"		"ISBN 978-1-5272-4065-0"	"CouchCharlotte"	2019-04-30T21:00:00Z	"20200812155937"	"Couch, Charlotte"
20200812160107	"Semi-deciduous forest (EN)"		"Couch (2019)"	"49"	"ISBN 978-1-5272-4065-0"	"CouchCharlotte"	2019-04-30T21:00:00Z	"20200812162153"	"Couch, Charlotte"
20200812161712	"Gallery forest (EN)"		"Couch (2019)"	"19, 49"	"ISBN 978-1-5272-4065-0"	"CouchCharlotte"	2019-04-30T21:00:00Z	"20200812163333"	"Couch, Charlotte"
20200812163239	"High Altitude Lateritic Bowal (EN)"		"Couch (2019)"	"163"	"ISBN 978-1-5272-4065-0"	"CouchCharlotte"	2019-04-30T21:00:00Z	"20200812170349"	"Couch, Charlotte"
20200812170452	"Low Altitude Lateritic Bowal (EN)"		"Couch (2019)"	"31"	"ISBN 978-1-5272-4065-0"	"CouchCharlotte"	2019-04-30T21:00:00Z	"20200812171900"	"Couch, Charlotte"
20200812171840	"Submontane grassland on leached ferralitic itabirite (EN)"		"Couch (2019)"	"159"	"ISBN 978-1-5272-4065-0"	"CouchCharlotte"	2019-04-30T21:00:00Z	"20200812172738"	"Couch, Charlotte"
20200813144327	"Hill Top Forest (EN)"		"Hawthorne (2010)"	"10, 31, 39"		"HawthorneWD"	2010-07-31T21:00:00Z	"20200813143844"	"Hawthorne, William D."
20200813144354	"Guinea Moist evergreen forest (EN)"		"Hawthorne (2010)"	"10, 31, 39"		"HawthorneWD"	2010-07-31T21:00:00Z	"20200813145046"	"Hawthorne, William D."
20200813145420	"Mountain Forest (EN)"		"Hawthorne (2010)"	"10, 39"		"HawthorneWD"	2010-07-31T21:00:00Z	"20200813150301"	"Hawthorne, William D."
20200813150647	"Valley Bottom (EN)"		"Hawthorne (2010)"	"10, 39"		"HawthorneWD"	2010-07-31T21:00:00Z	"20200813154812"	"Hawthorne, William D."
20200813155212	"River-side forest (EN)"		"Hawthorne (2010)"	"10, 38"		"HawthorneWD"	2010-07-31T21:00:00Z	"20200813155845"	"Hawthorne, William D."
20200820101059	"Southern Upper Guinea Mangrove Forests (EN)"		"Abell (2008)"	"512"	"https://doi.org/10.1641/B580507"	"AbellRobin"	2008-04-30T21:00:00Z	"20200820100727"	"Abell, Robin"
20200904144418	"West African Saxicolous seasonal marsh grassland on ironstone of the Submontane tropical rainforest zone (EN)"	"Prairie ouest africaine périodiquement marécageuse saxicole sur cuirasse ferrugineuse de la zone des Forêts tropicales submontagnardes (FR)"	"Senterre (2020)"	"31"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-09-03T21:00:00Z	"20200904145659"	"Senterre, Bruno"
20200907140441	"Seasonal swamp vegetation (EN)"		"Cheek (2006)"	"51"	"ISBN 978-1-5272-4065-0"	"CheekMartin"	2006-11-30T21:00:00Z	"20200907135549"	"Cheek, Martin"
20200909094122	"Exposed rock surfaces of granite inselbergs (EN)"		"Porembski (1994)"	"318"	"https://doi.org/10.1016/S0367-2530(17)30612-6"	"PorembskiStefan"	1994-03-27T21:00:00Z	"20200909093605"	"Porembski, Stefan"
20200909094125	"West African Granite rock surface of the Lowland tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Affleurement rocheux de granite de la zone des Forêts tropicales humides saisonnières semi-décidues de plaine d'Afrique de l'ouest (FR)"	"Senterre (2020)"	"53"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-09-08T21:00:00Z	"20200909093605"	"Senterre, Bruno"
20200909094435	"Afrotrilepis pilosa-mats of granite inselbergs  (EN)"		"Porembski (1994)"	"318"	"https://doi.org/10.1016/S0367-2530(17)30612-6"	"PorembskiStefan"	1994-03-27T21:00:00Z	"20200909141453"	"Porembski, Stefan"
20200909141820	"West African Granite rock surface of the Submontane tropical humid moist seasonal semi-deciduous rainforest zone (EN)"	"Affleurement rocheux de granite de la zone des Forêts tropicales humides saisonnières semi-décidues submontagnardes d'Afrique de l'ouest (FR)"	"Senterre (2020)"	"54"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-09-08T21:00:00Z	"20200812152525"	"Senterre, Bruno"
20200911095232	"Saxicolous dry forest (EN)"		"Senterre (2016)"	"4"		"6980a07a-811b-4b74-82f4-56c601afaab6"	2016-11-24T21:00:00Z	"20200911094637"	"Senterre, Bruno"
20201215102726	"Raphia palma-pinus swamp (EN)"		"Jongkind (2007)"	"23"	"https://doi.org/10.1896/978-1-934151-01-3.21"	"00a9ed8e-cfa2-46d9-8d64-a459bf6c934a"	2006-12-31T21:00:00Z	"20200807181635"	"Jongkind, Carel"
20200807163951	"Atlantic Coastal backshore tidal estuarine backshore/sheltered mangrove forest of the Tropical lowland superhumid evergreen rainforest zone (EN)"	"Mangrove d'arrière-côte abritée, atlantique, de la zone des Forêts tropicales superhumides sempervirentes de plaine (FR)"	"Senterre (2020)"	"22"	"https://doi.org/10.13140/RG.2.2.17934.89924"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-06T21:00:00Z	"20200807164404"	"Senterre, Bruno"
20200807164046	"Mangrove Forest (EN)"		"Voorhoeve (1965)"	"21"	"https://doi.org/10.2307/1217558"	"VoorhoeveAG"	1964-12-31T20:00:00Z	"20200807164933"	"Voorhoeve, Alexander George"
20200807164752	"Swamp Forest of the Evergreen Forest Zone (EN)"		"Voorhoeve (1965)"	"21"	"https://doi.org/10.2307/1217558"	"VoorhoeveAG"	1964-12-31T20:00:00Z	"20200807165710"	"Voorhoeve, Alexander George"
20200807165550	"Swamp Forest of the Moist Semi-deciduous Forest Zone (EN)"		"Voorhoeve (1965)"	"21"	"https://doi.org/10.2307/1217558"	"VoorhoeveAG"	1964-12-31T20:00:00Z	"20200807170127"	"Voorhoeve, Alexander George"
